"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","148.880","147.500","149.180","147.220","1.96M","1.10%"
"01/18/2024","147.260","145.500","147.500","144.840","1.35M","1.68%"
"01/17/2024","144.820","143.660","144.820","143.360","1.36M","0.17%"
"01/16/2024","144.580","144.100","144.720","143.260","966.32K","0.01%"
"01/15/2024","144.560","144.140","145.120","143.940","732.44K","-0.21%"
"01/12/2024","144.860","142.520","144.860","142.520","1.16M","2.10%"
"01/11/2024","141.880","142.440","143.740","141.880","1.35M","-0.11%"
"01/10/2024","142.040","139.880","142.100","139.660","1.62M","1.98%"
"01/09/2024","139.280","139.040","139.840","137.420","1.04M","0.36%"
"01/08/2024","138.780","136.980","139.000","136.960","992.58K","1.24%"
"01/05/2024","137.080","134.820","137.580","134.420","1.17M","0.47%"
"01/04/2024","136.440","136.920","137.760","136.180","1.11M","-0.50%"
"01/03/2024","137.120","136.980","138.620","136.600","1.31M","-0.16%"
"01/02/2024","137.340","140.000","140.700","136.600","1.44M","-1.53%"
"12/29/2023","139.480","139.660","140.200","139.380","539.50K","-0.11%"
"12/28/2023","139.640","140.100","140.520","139.420","925.87K","-0.14%"
"12/27/2023","139.840","138.900","140.320","138.560","1.07M","1.16%"
"12/22/2023","138.240","138.400","138.500","137.320","1.19M","0.48%"
"12/21/2023","137.580","139.000","139.000","135.460","1.72M","-1.16%"
"12/20/2023","139.200","140.580","141.040","139.060","1.74M","-1.46%"
"12/19/2023","141.260","142.400","142.840","141.100","1.95M","0.04%"
"12/18/2023","141.200","141.480","141.960","140.760","1.30M","-0.20%"
"12/15/2023","141.480","142.480","142.880","140.800","7.15M","-0.74%"
"12/14/2023","142.540","146.960","147.440","141.240","3.44M","-2.70%"
"12/13/2023","146.500","147.180","148.140","146.100","1.96M","-0.56%"
"12/12/2023","147.320","146.100","147.420","144.800","2.03M","-0.01%"
"12/11/2023","147.340","147.900","148.480","145.560","2.57M","-0.57%"
"12/08/2023","148.180","146.780","148.180","146.520","1.87M","0.73%"
"12/07/2023","147.100","146.320","147.320","146.100","1.32M","-0.03%"
"12/06/2023","147.140","147.800","149.120","146.860","1.99M","0.00%"
"12/05/2023","147.140","146.240","147.280","146.140","1.68M","0.56%"
"12/04/2023","146.320","145.660","147.360","145.280","1.90M","-0.26%"
